广东频道,#genre#
CCTV-3,http://171.118.171.98:8085/rtp/226.0.2.20:8072
CCTV-3,http://120.10.101.13:4000/rtp/239.253.92.191:6057
CCTV-3,http://114.226.231.241:5566/rtp/239.49.9.31:6000
CCTV-4,http://119.98.124.146:4022/rtp/239.69.1.138:10466$1920x1080
CCTV-4,http://114.226.231.240:5566/rtp/239.49.1.4:6000$720x576
CCTV-4,http://115.171.216.51:4000/rtp/225.1.8.104:8216$720x576
CCTV-4,http://171.118.171.98:8085/rtp/226.0.2.156:9160
CCTV-4,http://171.118.171.98:8085/rtp/226.0.2.21:8080
CCTV-4,http://120.10.101.13:4000/rtp/239.253.93.192:6370
CCTV-4,http://114.226.231.241:5566/rtp/239.49.8.131:6000
CCTV-4,http://114.226.231.241:5566/rtp/239.49.1.4:6000
CCTV-5,http://124.230.56.162:55555/rtp/239.76.253.155:9000$1920x1080
CCTV-5,http://sweetown.fun:4000/rtp/239.3.1.173:8001$1920x1080
CCTV-5,http://171.120.86.128:8085/rtp/226.0.2.22:8088$720x576
CCTV-5,http://171.118.171.98:8085/rtp/226.0.2.209:9584
CCTV-5,http://171.118.171.98:8085/rtp/226.0.2.22:8088
CCTV-5,http://120.10.101.13:4000/rtp/239.253.92.181:6046
CCTV-5,http://114.226.231.241:5566/rtp/239.49.9.32:6000
CCTV-5,http://114.226.231.241:5566/rtp/239.49.1.5:6000
CCTV-5+,http://171.120.86.128:8085/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://xeace.cn:8888/rtp/239.93.1.36:8004$1920x1080
CCTV-5+,http://124.230.56.162:55555/rtp/239.76.253.168:9000$1920x1080
CCTV-5+,http://171.116.182.180:8085/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://171.118.171.98:8085/rtp/226.0.2.168:9256
CCTV-5+,http://120.10.101.13:4000/rtp/239.253.92.82:8013
CCTV-5+,http://114.226.231.241:5566/rtp/239.49.8.137:6000
CCTV-5+,http://124.129.78.38:3333/rtp/239.253.254.80:8000
CCTV-6,http://171.120.86.128:8085/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://sweetown.fun:4000/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://114.226.231.240:5566/rtp/239.49.1.6:6000$720x576
